date,values
1/2/2012,25980
1/3/2012,29220
1/4/2012,7450
1/5/2012,10520
1/6/2012,29260
1/7/2012,11820
1/8/2012,20680
1/9/2012,23940
1/10/2012,23330
1/11/2012,21590
1/12/2012,25340
1/13/2012,22270
1/14/2012,15710
1/15/2012,11870
1/16/2012,23560
1/17/2012,22890
1/18/2012,27120
1/19/2012,30750
1/20/2012,20460
1/21/2012,17470
1/22/2012,10640
1/23/2012,21490
1/24/2012,16470
1/25/2012,21840
1/26/2012,32950
1/27/2012,25050
1/28/2012,17420
1/29/2012,11400
1/30/2012,22230
1/31/2012,22400
2/1/2012,17780
2/2/2012,29190
2/3/2012,24360
2/4/2012,27120
2/5/2012,42200
2/6/2012,7420
2/7/2012,25930
2/8/2012,35470
2/9/2012,11740
2/10/2012,32830
2/11/2012,34760
2/12/2012,7300
2/13/2012,21390
2/14/2012,24330
2/15/2012,30060
2/16/2012,32760
2/17/2012,30310
2/18/2012,17980
2/19/2012,12360
2/20/2012,19970
2/21/2012,24880
2/22/2012,32840
2/23/2012,23340
2/24/2012,23580
2/25/2012,13570
2/26/2012,7470
2/27/2012,24290
2/28/2012,33100
2/29/2012,29940
3/1/2012,30020
3/2/2012,22590
3/3/2012,15700
3/4/2012,26990
3/5/2012,37440
3/6/2012,21330
3/7/2012,24420
3/8/2012,18020
3/9/2012,30020
3/10/2012,31170
3/11/2012,34820
3/12/2012,24110
3/13/2012,30190
3/14/2012,27770
3/15/2012,27160
3/16/2012,24740
3/17/2012,13850
3/18/2012,6580
3/19/2012,28260
3/20/2012,22660
3/21/2012,28270
3/22/2012,26820
3/23/2012,26250
3/24/2012,19170
3/25/2012,8920
3/26/2012,26270
3/27/2012,30050
3/28/2012,28410
3/29/2012,29450
3/30/2012,22790
3/31/2012,20560
4/1/2012,35210
4/2/2012,14470
4/3/2012,11380
4/4/2012,24370
4/5/2012,36350
4/6/2012,8200
4/7/2012,41000
4/8/2012,24010
4/9/2012,13120
4/10/2012,25290
4/11/2012,16600
4/12/2012,34750
4/13/2012,8940
4/14/2012,3810
4/15/2012,10750
4/16/2012,19090
4/17/2012,31020
4/18/2012,31470
4/19/2012,33350
4/20/2012,30740
4/21/2012,23160
4/22/2012,8110
4/23/2012,26720
4/24/2012,14320
4/25/2012,33520
4/26/2012,34100
4/27/2012,41100
4/28/2012,28350
4/29/2012,5570
4/30/2012,29830
5/1/2012,28590
5/2/2012,10280
5/3/2012,26560
5/4/2012,23800
5/5/2012,11480
5/6/2012,36710
5/7/2012,31880
5/8/2012,9740
5/9/2012,28260
5/10/2012,27110
5/11/2012,29740
5/12/2012,27620
5/13/2012,11680
5/14/2012,24510
5/15/2012,29740
5/16/2012,25230
5/17/2012,30690
5/18/2012,26930
5/19/2012,18030
5/20/2012,4870
5/21/2012,29960
5/22/2012,32310
5/23/2012,30250
5/24/2012,31680
5/25/2012,23510
5/26/2012,28700
5/27/2012,7690
5/28/2012,30070
5/29/2012,28740
5/30/2012,29680
5/31/2012,37080
6/1/2012,25530
6/2/2012,22690
6/3/2012,28180
6/4/2012,24730
6/5/2012,7490
6/6/2012,31910
6/7/2012,33710
6/8/2012,21950
6/9/2012,26670
6/10/2012,18980
6/11/2012,30980
6/12/2012,23610
6/13/2012,32490
6/14/2012,26030
6/15/2012,25410
6/16/2012,23490
6/17/2012,12880
6/18/2012,29080
6/19/2012,30200
6/20/2012,30790
6/21/2012,28670
6/22/2012,34460
6/23/2012,17390
6/24/2012,13690
6/25/2012,28090
6/26/2012,35700
6/27/2012,25730
6/28/2012,31400
6/29/2012,29360
6/30/2012,28870
7/1/2012,24330
7/2/2012,20690
7/3/2012,12760
7/4/2012,28000
7/5/2012,19970
7/6/2012,33890
7/7/2012,23630
7/8/2012,22550
7/9/2012,31170
7/10/2012,8980
7/11/2012,27320
7/12/2012,29480
7/13/2012,29250
7/14/2012,22550
7/15/2012,8890
7/16/2012,25380
7/17/2012,20870
7/18/2012,33660
7/19/2012,32180
7/20/2012,25950
7/21/2012,26540
7/22/2012,8840
7/23/2012,27860
7/24/2012,29030
7/25/2012,31870
7/26/2012,30050
7/27/2012,23340
7/28/2012,17770
7/29/2012,5180
7/30/2012,27670
7/31/2012,29540
8/1/2012,10940
8/2/2012,31910
8/3/2012,31060
8/4/2012,17330
8/5/2012,29850
8/6/2012,35870
8/7/2012,9220
8/8/2012,29360
8/9/2012,30070
8/10/2012,26640
8/11/2012,24670
8/12/2012,24070
8/13/2012,22970
8/14/2012,26210
8/15/2012,31960
8/16/2012,31300
8/17/2012,29920
8/18/2012,20920
8/19/2012,17050
8/20/2012,26480
8/21/2012,21900
8/22/2012,28350
8/23/2012,27630
8/24/2012,15150
8/25/2012,29630
8/26/2012,24600
8/27/2012,30000
8/28/2012,35040
8/29/2012,28900
8/30/2012,31390
8/31/2012,23840
9/1/2012,26940
9/2/2012,22130
9/3/2012,27960
9/4/2012,24150
9/5/2012,32010
9/6/2012,31080
9/7/2012,25760
9/8/2012,29180
9/9/2012,15470
9/10/2012,33790
9/11/2012,31410
9/12/2012,7080
9/13/2012,26890
9/14/2012,33270
9/15/2012,25300
9/16/2012,5350
9/17/2012,26390
9/18/2012,36350
9/19/2012,27040
9/20/2012,21610
9/21/2012,27290
9/22/2012,22190
9/23/2012,14660
9/24/2012,26510
9/25/2012,30670
9/26/2012,26650
9/27/2012,29670
9/28/2012,34610
9/29/2012,18330
9/30/2012,9710
10/1/2012,26010
10/2/2012,23140
10/3/2012,24060
10/4/2012,30250
10/5/2012,34220
10/6/2012,13390
10/7/2012,30040
10/8/2012,24610
10/9/2012,36270
10/10/2012,30310
10/11/2012,23550
10/12/2012,25010
10/13/2012,19160
10/14/2012,7610
10/15/2012,24400
10/16/2012,29930
10/17/2012,30000
10/18/2012,34940
10/19/2012,30670
10/20/2012,9680
10/21/2012,13930
10/22/2012,31300
10/23/2012,38340
10/24/2012,28100
10/25/2012,37880
10/26/2012,23140
10/27/2012,18130
10/28/2012,7790
10/29/2012,13670
10/30/2012,40760
10/31/2012,30380
11/1/2012,33040
11/2/2012,14500
11/3/2012,8810
11/4/2012,33660
11/5/2012,28800
11/6/2012,24330
11/7/2012,31840
11/8/2012,24070
11/9/2012,26490
11/10/2012,30360
11/11/2012,5550
11/12/2012,33150
11/13/2012,32960
11/14/2012,26710
11/15/2012,37310
11/16/2012,28510
11/17/2012,19510
11/18/2012,4230
11/19/2012,23480
11/20/2012,32690
11/21/2012,25560
11/22/2012,26360
11/23/2012,28750
11/24/2012,20490
11/25/2012,6700
11/26/2012,28970
11/27/2012,21090
11/28/2012,43850
11/29/2012,19030
11/30/2012,36760
12/1/2012,33900
12/2/2012,7580
12/3/2012,29930
12/4/2012,27770
12/5/2012,24190
12/6/2012,28050
12/7/2012,29950
12/8/2012,14450
12/9/2012,29890
12/10/2012,28420
12/11/2012,26870
12/12/2012,29560
12/13/2012,30330
12/14/2012,27000
12/15/2012,21990
12/16/2012,8520
12/17/2012,18410
12/18/2012,34600
12/19/2012,35330
12/20/2012,32550
12/21/2012,29430
12/22/2012,23180
12/23/2012,7710
12/24/2012,33850
12/25/2012,26620
12/26/2012,30830
12/27/2012,21210
12/28/2012,37700
12/29/2012,27130
12/30/2012,11820
12/31/2012,38500
1/1/2013,18240
1/2/2013,23150
1/3/2013,20450
1/4/2013,23720
1/5/2013,13610
1/6/2013,21900
1/7/2013,23100
1/8/2013,36470
1/9/2013,6810
1/10/2013,35040
1/11/2013,28750
1/12/2013,16820
1/13/2013,7260
1/14/2013,14540
1/15/2013,25850
1/16/2013,28840
1/17/2013,31340
1/18/2013,28600
1/19/2013,23080
1/20/2013,14170
1/21/2013,24690
1/22/2013,27980
1/23/2013,26020
1/24/2013,27290
1/25/2013,14340
1/26/2013,18440
1/27/2013,9570
1/28/2013,20340
1/29/2013,34490
1/30/2013,25920
1/31/2013,28630
2/1/2013,33660
2/2/2013,16030
2/3/2013,21810
2/4/2013,33090
2/5/2013,37200
2/6/2013,6290
2/7/2013,28890
2/8/2013,25300
2/9/2013,22910
2/10/2013,32100
2/11/2013,21050
2/12/2013,28210
2/13/2013,28610
2/14/2013,30090
2/15/2013,21730
2/16/2013,24910
2/17/2013,7450
2/18/2013,21720
2/19/2013,25590
2/20/2013,29510
2/21/2013,25240
2/22/2013,26470
2/23/2013,18960
2/24/2013,12170
2/25/2013,10130
2/26/2013,30810
2/27/2013,34560
2/28/2013,27410
3/1/2013,38630
3/2/2013,6640
3/3/2013,8650
3/4/2013,28020
3/5/2013,12950
3/6/2013,22370
3/7/2013,33300
3/8/2013,24890
3/9/2013,32160
3/10/2013,30400
3/11/2013,6660
3/12/2013,31170
3/13/2013,25720
3/14/2013,27500
3/15/2013,26540
3/16/2013,21020
3/17/2013,7160
3/18/2013,19580
3/19/2013,33550
3/20/2013,30120
3/21/2013,29090
3/22/2013,28600
3/23/2013,20120
3/24/2013,8520
3/25/2013,21380
3/26/2013,23620
3/27/2013,33380
3/28/2013,26380
3/29/2013,29490
3/30/2013,31730
3/31/2013,8930
4/1/2013,23180
4/2/2013,10540
4/3/2013,20250
4/4/2013,23340
4/5/2013,38580
4/6/2013,35500
4/7/2013,29940
4/8/2013,11580
4/9/2013,33110
4/10/2013,27250
4/11/2013,29970
4/12/2013,30330
4/13/2013,23650
4/14/2013,5330
4/15/2013,6650
4/16/2013,28140
4/17/2013,26400
4/18/2013,25870
4/19/2013,31600
4/20/2013,12880
4/21/2013,8410
4/22/2013,21600
4/23/2013,28780
4/24/2013,26350
4/25/2013,22790
4/26/2013,39240
4/27/2013,16950
4/28/2013,6040
4/29/2013,23630
4/30/2013,29220
5/1/2013,35480
5/2/2013,24250
5/3/2013,27520
5/4/2013,32450
5/5/2013,17340
5/6/2013,34910
5/7/2013,30150
5/8/2013,23870
5/9/2013,27230
5/10/2013,22170
5/11/2013,31710
5/12/2013,34740
5/13/2013,20520
5/14/2013,33650
5/15/2013,30530
5/16/2013,36090
5/17/2013,27400
5/18/2013,21940
5/19/2013,8180
5/20/2013,16650
5/21/2013,38690
5/22/2013,28590
5/23/2013,29830
